timestamp_secs,measured_kW
1699398077,3491.55
1699398677,3643.37
1699399277,3608.24
1699399877,3374.59
1699400477,3593.41
1699401077,3636.55
1699401677,3599.42
1699402277,3752.75
1699402877,3946.25
1699403477,3960.28
1699404077,3896.15
1699404677,3972.81
1699405277,3906.51
1699405877,3891.77
1699406477,3815.82
1699407077,3960.81
1699407677,3771.28
1699408277,3672.76
1699408877,3610.24
1699409477,3543.09
1699410077,3491.18
1699410677,3286.77
1699411277,3488.91
1699411877,3490.15
1699412477,3507.34
1699413077,3640.34
1699413677,3684.84
1699414277,3607.97
1699414877,3574.42
1699415477,3490.54
1699416077,3398.91
1699416677,3457.16
1699417277,3683.51
1699417877,3405.94
1699418477,3410.84
1699419077,3389.02
1699419677,3350.96
1699420277,3335.64
1699420877,3202.23
1699421477,3250.76
1699422077,3369.62
1699422677,3408.14
1699423277,3358.16
1699423877,3188.78
1699424477,3195.82
1699425077,3321.45
1699425677,3208.81
1699426277,3386.55
1699426877,3251.40
1699427477,3209.25
1699428077,3267.71
1699428677,3178.00
1699429277,3041.86
1699429877,3263.65
1699430477,3494.51
1699431077,3269.69
1699431677,3405.46
1699432277,3305.05
1699432877,3220.31
1699433477,3334.14
1699434077,3687.00
1699434677,3457.49
1699435277,3577.87
1699435877,3683.67
1699436477,3650.62
1699437077,3535.88
1699437677,3699.00
1699438277,3645.76
1699438877,3467.09
1699439477,3577.29
1699440077,3560.55
1699440677,3518.46
1699441277,3468.38
1699441877,3617.52
1699442477,3537.77
1699443077,3409.56
1699443677,3697.09
1699444277,3238.31
1699444877,3652.54
1699445477,3414.01
1699446077,3224.23
1699446677,3536.48
1699447277,3470.79
1699447877,3490.91
1699448477,3244.97
1699449077,3451.29
1699449677,3737.63
1699450277,3529.94
1699450877,3593.86
1699451477,3970.44
1699452077,3692.71
1699452677,4106.52
1699453277,3761.93
1699453877,4006.75
1699454477,3843.32
1699455077,4034.43
1699455677,3722.92
1699456277,3713.75
1699456877,4108.63
1699457477,3971.83
1699458077,4196.67
1699458677,4023.25
1699459277,4120.17
1699459877,3909.19
1699460477,4093.96
