timestamp_secs,measured_kW
1697879048,2145.17
1697879049,2150.24
1697879050,2155.30
1697879051,2160.37
1697879052,2165.43
1697879053,2170.50
1697879054,2175.56
1697879055,2180.63
1697879056,2185.70
1697879057,2190.76
1697879058,2195.83
1697879059,2200.89
1697879060,2205.96
1697879061,2224.46
1697879062,2236.53
1697879063,2243.84
1697879064,2244.48
1697879065,2249.12
1697879066,2271.73
1697879067,2310.78
1697879068,2338.15
1697879069,2371.44
1697879070,2413.85
1697879071,2439.18
1697879072,2502.24
1697879073,2602.96
1697879074,2680.00
1697879075,2746.58
1697879076,2858.52
1697879077,2869.78
1697879078,2805.44
1697879079,2718.31
1697879080,2641.14
1697879081,2612.38
1697879082,2640.34
1697879083,2688.43
1697879084,2727.89
1697879085,2718.55
1697879086,2615.77
1697879087,2478.14
1697879088,2398.05
1697879089,2347.77
1697879090,2328.43
1697879091,2317.32
1697879092,2304.85
1697879093,2301.12
1697879094,2311.69
1697879095,2348.45
1697879096,2387.20
1697879097,2424.14
1697879098,2448.50
1697879099,2467.36
1697879100,2459.01
1697879101,2446.76
1697879102,2443.17
1697879103,2440.32
1697879104,2431.34
1697879105,2439.50
1697879106,2457.26
1697879107,2467.45
1697879108,2472.23
1697879109,2485.63
1697879110,2482.23
1697879111,2471.53
1697879112,2460.34
1697879113,2456.79
1697879114,2450.32
1697879115,2449.76
1697879116,2462.93
1697879117,2465.65
1697879118,2470.28
1697879119,2474.49
1697879120,2474.92
1697879121,2457.52
1697879122,2455.73
1697879123,2451.29
1697879124,2444.74
1697879125,2443.54
1697879126,2456.03
1697879127,2458.35
1697879128,2464.87
1697879129,2472.82
1697879130,2470.62
1697879131,2458.77
1697879132,2452.70
1697879133,2448.99
1697879134,2446.19
1697879135,2450.47
1697879136,2460.65
1697879137,2464.08
1697879138,2472.07
1697879139,2477.53
1697879140,2466.97
1697879141,2458.78
1697879142,2457.70
1697879143,2453.75
1697879144,2454.62
1697879145,2461.29
1697879146,2464.69
1697879147,2469.83
1697879148,2480.96
1697879149,2477.69
1697879150,2469.79
1697879151,2466.08
1697879152,2458.68
1697879153,2455.97
1697879154,2455.74
1697879155,2459.91
1697879156,2462.48
1697879157,2477.91
1697879158,2479.04
1697879159,2471.67
1697879160,2466.12
1697879161,2463.66
1697879162,2459.25
1697879163,2464.73
1697879164,2468.11
1697879165,2468.99
1697879166,2478.86
1697879167,2496.63
1697879168,2480.92
1697879169,2471.83
1697879170,2471.64
1697879171,2467.84
1697879172,2461.79
1697879173,2469.52
1697879174,2472.69
1697879175,2474.16
1697879176,2491.61
1697879177,2495.49
1697879178,2483.11
1697879179,2481.03
1697879180,2479.93
1697879181,2482.31
1697879182,2477.77
1697879183,2477.73
1697879184,2479.81
1697879185,2486.99
1697879186,2490.49
1697879187,2472.12
1697879188,2468.99
1697879189,2467.16
1697879190,2459.52
1697879191,2452.27
1697879192,2454.38
1697879193,2455.89
1697879194,2456.56
1697879195,2465.84
1697879196,2473.61
1697879197,2465.34
1697879198,2464.68
1697879199,2463.20
1697879200,2450.81
1697879201,2442.18
1697879202,2461.77
1697879203,2464.11
1697879204,2464.96
1697879205,2478.06
1697879206,2484.37
1697879207,2465.90
1697879208,2462.20
1697879209,2461.28
1697879210,2450.05
1697879211,2443.95
1697879212,2463.99
1697879213,2474.89
1697879214,2476.42
1697879215,2482.30
1697879216,2487.61
1697879217,2469.82
1697879218,2454.30
1697879219,2452.58
1697879220,2446.79
1697879221,2411.23
1697879222,2383.37
1697879223,2402.76
1697879224,2419.53
1697879225,2423.84
1697879226,2440.93
1697879227,2477.26
1697879228,2485.33
1697879229,2468.95
1697879230,2464.40
1697879231,2463.18
1697879232,2448.12
1697879233,2415.06
1697879234,2414.15
1697879235,2431.31
1697879236,2438.06
1697879237,2441.81
1697879238,2458.74
1697879239,2476.03
1697879240,2463.81
1697879241,2451.26
1697879242,2444.77
1697879243,2440.00
1697879244,2416.88
1697879245,2412.11
1697879246,2442.54
1697879247,2463.71
1697879248,2469.02
1697879249,2475.93
1697879250,2493.35
1697879251,2483.96
1697879252,2462.52
1697879253,2454.58
1697879254,2451.24
1697879255,2432.54
1697879256,2406.73
1697879257,2391.28
1697879258,2418.53
1697879259,2427.68
1697879260,2430.51
1697879261,2448.30
1697879262,2486.86
1697879263,2478.06
1697879264,2458.91
1697879265,2451.04
1697879266,2444.95
1697879267,2421.60
1697879268,2399.86
1697879269,2406.47
1697879270,2428.72
1697879271,2439.57
1697879272,2442.56
1697879273,2452.73
1697879274,2473.46
1697879275,2468.29
1697879276,2451.24
1697879277,2441.26
1697879278,2436.24
1697879279,2421.08
1697879280,2401.03
1697879281,2397.20
1697879282,2431.03
1697879283,2442.81
1697879284,2447.17
1697879285,2463.37
1697879286,2482.96
1697879287,2477.88
1697879288,2456.52
1697879289,2449.90
1697879290,2444.44
1697879291,2428.27
1697879292,2400.31
1697879293,2411.45
1697879294,2432.01
1697879295,2442.53
1697879296,2442.86
1697879297,2467.10
1697879298,2488.70
1697879299,2478.19
1697879300,2462.90
1697879301,2460.09
1697879302,2449.19
1697879303,2420.64
1697879304,2398.08
1697879305,2402.07
1697879306,2426.70
1697879307,2436.17
1697879308,2440.70
1697879309,2461.27
1697879310,2477.75
1697879311,2469.65
1697879312,2442.57
1697879313,2436.97
1697879314,2428.09
1697879315,2408.30
1697879316,2390.40
1697879317,2379.77
1697879318,2395.29
1697879319,2411.69
1697879320,2413.37
1697879321,2425.86
1697879322,2471.43
1697879323,2478.43
1697879324,2458.19
1697879325,2445.48
1697879326,2441.60
1697879327,2421.79
1697879328,2395.92
1697879329,2390.66
1697879330,2404.41
1697879331,2419.36
1697879332,2431.08
1697879333,2442.71
1697879334,2461.65
1697879335,2474.44
1697879336,2462.65
1697879337,2431.93
1697879338,2416.31
1697879339,2410.99
1697879340,2393.02
1697879341,2383.64
1697879342,2377.20
1697879343,2402.84
1697879344,2423.45
1697879345,2428.59
1697879346,2440.65
1697879347,2495.63
1697879348,2496.48
1697879349,2469.79
1697879350,2460.19
1697879351,2454.55
1697879352,2423.27
1697879353,2399.59
1697879354,2412.83
1697879355,2444.58
1697879356,2447.79
1697879357,2452.25
1697879358,2475.08
1697879359,2487.55
1697879360,2469.20
1697879361,2462.58
1697879362,2460.01
1697879363,2444.61
1697879364,2427.29
1697879365,2446.58
1697879366,2456.22
1697879367,2461.97
1697879368,2467.75
1697879369,2481.79
1697879370,2472.94
1697879371,2466.77
1697879372,2461.54
1697879373,2457.84
1697879374,2450.21
1697879375,2458.95
1697879376,2466.83
1697879377,2469.64
1697879378,2477.69
1697879379,2484.49
1697879380,2473.61
1697879381,2464.42
1697879382,2462.09
1697879383,2452.93
1697879384,2436.84
1697879385,2451.61
1697879386,2460.18
1697879387,2462.64
1697879388,2469.45
1697879389,2487.88
1697879390,2474.58
1697879391,2467.99
1697879392,2467.84
1697879393,2461.85
1697879394,2460.98
1697879395,2467.94
1697879396,2468.85
1697879397,2470.38
1697879399,2490.33
1697879399,2490.73
1697879400,2477.58
1697879401,2474.55
1697879402,2473.22
1697879403,2443.64
1697879404,2413.65
1697879405,2389.91
1697879406,2400.02
1697879407,2403.53
1697879408,2388.85
1697879409,2389.40
1697879410,2402.25
1697879411,2394.80
1697879412,2398.45
1697879413,2449.44
1697879414,2473.41
1697879415,2474.65
1697879416,2469.05
1697879417,2444.08
1697879418,2390.34
1697879419,2363.64
1697879420,2344.13
1697879421,2335.05
1697879422,2318.26
1697879423,2311.56
1697879424,2307.38
1697879425,2305.58
1697879426,2325.55
1697879427,2360.27
1697879428,2365.51
1697879429,2374.47
1697879430,2391.52
1697879431,2387.49
1697879432,2393.07
1697879433,2451.77
1697879434,2477.57
1697879435,2477.82
1697879436,2471.41
1697879437,2447.94
1697879438,2392.38
1697879439,2361.27
1697879440,2346.19
1697879441,2336.55
1697879442,2319.57
1697879443,2310.08
1697879444,2305.60
1697879445,2304.05
1697879446,2328.70
1697879447,2355.35
1697879448,2367.20
1697879449,2374.41
1697879450,2388.79
1697879451,2382.11
1697879452,2384.14
1697879453,2433.54
1697879454,2462.19
1697879455,2465.87
1697879456,2461.27
1697879457,2442.59
1697879458,2396.14
1697879459,2364.66
1697879460,2346.72
1697879461,2333.89
1697879462,2316.85
1697879463,2309.13
1697879464,2306.11
1697879465,2307.87
1697879466,2329.49
1697879467,2357.89
1697879468,2364.88
1697879469,2375.00
1697879470,2387.07
1697879471,2382.85
1697879472,2390.46
1697879473,2442.27
1697879474,2467.34
